0
5
18
00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17
00
0
0 1 2 3 4 5 6 7 0 0 8 9 10 23 25 0 22 29
1 0 0 0 21 22 13 12 19 1 1 1 2 2 0 0 0 0
2 0 0 5 0 0 0 0 0 0 0 0 0 1 1 6 20 21
3 0 5 0 17 0 0 0 0 0 0 0 0 0 0 6 0 1
4 21 0 17 0 14 0 0 0 0 0 0 0 0 0 0 0 0
5 22 0 0 14 0 12 0 0 0 0 0 0 0 0 0 0 0
6 13 0 0 0 12 0 13 0 0 0 0 0 0 0 0 0 0
7 12 0 0 0 0 13 0 18 0 0 0 0 0 0 0 0 0
0 19 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
8 1 0 0 0 0 0 0 0 9 0 8 0 0 0 0 0 0
9 1 0 0 0 0 0 0 0 0 8 0 2 0 0 0 0 0
10 2 0 0 0 0 0 0 0 0 0 2 0 6 0 5 0 0
23 2 1 0 0 0 0 0 0 0 0 0 6 0 4 2 0 0
25 0 1 0 0 0 0 0 0 0 0 0 0 4 0 13 0 0
0 0 6 6 0 0 0 0 0 0 0 0 5 2 13 0 12 15
22 0 20 0 0 0 0 0 0 0 0 0 0 0 0 12 0 3
29 0 21 1 0 0 0 0 0 0 0 0 0 0 0 15 3 0
*****
59
*********************************************************************************************************************************************************
0
5
5
A B C D E
A
0
0 33 0 35 0
33 0 32 0 0
0 32 0 0 34
35 0 0 0 31
0 0 34 31 0
*****
130
*********************************************************************************************************************************************************
0
5
50
00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
00
0
0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 32 31 0 30 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0
34 0 45 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 45 47 48 33 0 0 0 0 0 0 0 21 12 29 0 0 0 0 0 0 0 18 0 0
0 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 44 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 15 0 78 0 0 0 0 0 0 0 0 0 0 0 0 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 78 0 0 0 0 0 0 0 0 0 0 0 0 98 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 97 0 0 0 0 96 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 95 0 0 0 0 94 0 0 0 0 95 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 93 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 91 0 0 0 0 0 0 0 0 0 90 0 31 0 31 0 0 0 0
